Rowid_,VALUE,COUNT,VALUE_1,CLASSNAME,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
,-9999,0,-9999.000000000000000,Nodata,9999.000000000000000,Nodata,Nodata,-9999.000000000000000,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,255.000000000000000,255.000000000000000,255.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
,3001,12757289,3001.000000000000000,Inter-Mountain Basins Sparsely Vegetated Systems,2001.000000000000000,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,700.000000000000000,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100.000000000000000,100.000000000000000,100.000000000000000,0.392157000000000,0.392157000000000,0.392157000000000
,3002,204151,3002.000000000000000,Mediterranean California Sparsely Vegetated Systems,2002.000000000000000,Sps Mediterranean California Sparsely Vegetated Systems,Sparse,700.000000000000000,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100.000000000000000,100.000000000000000,100.000000000000000,0.392157000000000,0.392157000000000,0.392157000000000
,3003,1191598,3003.000000000000000,North Pacific Sparsely Vegetated Systems,2003.000000000000000,Sps North Pacific Sparsely Vegetated Systems,Sparse,700.000000000000000,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100.000000000000000,100.000000000000000,100.000000000000000,0.392157000000000,0.392157000000000,0.392157000000000
,3004,2744760,3004.000000000000000,North American Warm Desert Sparsely Vegetated Systems,2004.000000000000000,Sps North American Warm Desert Sparsely Vegetated Systems,Sparse,700.000000000000000,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100.000000000000000,100.000000000000000,100.000000000000000,0.392157000000000,0.392157000000000,0.392157000000000
,3006,12997455,3006.000000000000000,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,2006.000000000000000,Sps Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,700.000000000000000,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100.000000000000000,100.000000000000000,100.000000000000000,0.392157000000000,0.392157000000000,0.392157000000000
,3007,3936853,3007.000000000000000,Western Great Plains Sparsely Vegetated Systems,2007.000000000000000,Sps Western Great Plains Sparsely Vegetated Systems,Sparse,700.000000000000000,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100.000000000000000,100.000000000000000,100.000000000000000,0.392157000000000,0.392157000000000,0.392157000000000
,3008,993996,3008.000000000000000,North Pacific Oak Woodland,2008.000000000000000,Tr North Pacific Oak Woodland,Tree,629.000000000000000,Hardwood,Western Oak Woodland and Savanna,SAF 233: Oregon White Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,203.000000000000000,255.000000000000000,171.000000000000000,0.796078000000000,1.000000000000000,0.670588000000000
,3009,12602,3009.000000000000000,Northwestern Great Plains Aspen Forest and Parkland,2009.000000000000000,Tr Northwestern Great Plains Aspen Forest and Parkland,Tree,602.000000000000000,Hardwood,"Aspen Forest, Woodland, and Parkland",SAF 217: Aspen,Tree-dominated,Open tree canopy,Deciduous open tree canopy,192.000000000000000,255.000000000000000,138.000000000000000,0.752941000000000,1.000000000000000,0.541176000000000
,3011,35901369,3011.000000000000000,Rocky Mountain Aspen Forest and Woodland,2011.000000000000000,Tr Rocky Mountain Aspen Forest and Woodland,Tree,602.000000000000000,Hardwood,"Aspen Forest, Woodland, and Parkland",SAF 217: Aspen,Tree-dominated,Open tree canopy,Deciduous open tree canopy,192.000000000000000,255.000000000000000,138.000000000000000,0.752941000000000,1.000000000000000,0.541176000000000
,3012,2678984,3012.000000000000000,Rocky Mountain Bigtooth Maple Ravine Woodland,2012.000000000000000,Tr Rocky Mountain Bigtooth Maple Ravine Woodland,Tree,605.000000000000000,Hardwood,Bigtooth Maple Woodland,SRM 418: Bigtooth Maple,Tree-dominated,Open tree canopy,Deciduous open tree canopy,171.000000000000000,255.000000000000000,138.000000000000000,0.670588000000000,1.000000000000000,0.541176000000000
,3013,3039266,3013.000000000000000,Western Great Plains Dry Bur Oak Forest and Woodland,2013.000000000000000,Tr Western Great Plains Dry Bur Oak Forest and Woodland,Tree,659.000000000000000,Hardwood,Bur Oak Woodland and Savanna,SAF 236: Bur Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,6.000000000000000,53.000000000000000,122.000000000000000,0.023529000000000,0.207843000000000,0.478431000000000
,3014,7164714,3014.000000000000000,Central and Southern California Mixed Evergreen Woodland,2014.000000000000000,Tr Central and Southern California Mixed Evergreen Woodland,Tree,626.000000000000000,Conifer,California Mixed Evergreen Forest and Woodland,SAF 249: Canyon Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,145.000000000000000,255.000000000000000,115.000000000000000,0.568627000000000,1.000000000000000,0.450980000000000
,3015,8337967,3015.000000000000000,California Coastal Redwood Forest,2015.000000000000000,Tr California Coastal Redwood Forest,Tree,634.000000000000000,Conifer,Redwood Forest and Woodland,SAF 232: Redwood,Tree-dominated,Open tree canopy,Evergreen open tree canopy,135.000000000000000,255.000000000000000,105.000000000000000,0.529412000000000,1.000000000000000,0.411765000000000
