Rowid_,VALUE,COUNT,VALUE_1,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPID,GROUPMODEL,GROUPNAME,G,GROUPVEG,R,B,RED,GREEN,BLUE
,-9999,-585317667,-9999,-9999,na,na,No Data,-9999,na,No Data,0,No Data,0,0,0.000000000000000,0.000000000000000,0.000000000000000
,11,482585401,11,11,na,na,Open Water,11,na,Open Water,92,Open Water,0,230,0.000000000000000,0.360780000000000,0.901960000000000
,12,1929687,12,12,na,na, PerennialIce/Snow,12,na, PerennialIce/Snow,255, PerennialIce/Snow,255,255,1.000000000000000,1.000000000000000,1.000000000000000
,31,103842805,31,31,na,na,Barren-Rock/Sand/Clay,31,na,Barren-Rock/Sand/Clay,0,Barren-Rock/Sand/Clay,0,0,0.000000000000000,0.000000000000000,0.000000000000000
,381,487713,381,11250,15,1511250,Inter-Mountain Basins Big Sagebrush Steppe,221,221,Wyoming Big Sage-Wheatgrass-4,115,Shrubland,255,223,1.000000000000000,0.450980000000000,0.874510000000000
,383,77962,383,10010,25,2510010,Inter-Mountain Basins Sparsely Vegetated Systems,100,100,Sparsely Vegetated,255,Sparse,255,190,1.000000000000000,1.000000000000000,0.745090000000000
,384,15784,384,10060,15,1510060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,100,100,Sparsely Vegetated,255,Sparse,255,190,1.000000000000000,1.000000000000000,0.745090000000000
,385,3269672,385,10040,13,1310040,North American Warm Desert Sparsely Vegetated Systems,100,100,Sparsely Vegetated,255,Sparse,255,190,1.000000000000000,1.000000000000000,0.745090000000000
,386,4952,386,11490,28,2811490,Western Great Plains Shortgrass Prairie,247,247,Blue Grama-Buffalo Grass-2,205,Grassland,205,102,0.803920000000000,0.803920000000000,0.400000000000000
,387,199237,387,11470,28,2811470,Western Great Plains Foothill and Piedmont Grassland,245,245,Big Bluestem-Little Bluestem-Mountain Muhly-2,205,Grassland,137,102,0.537250000000000,0.803920000000000,0.400000000000000
,388,315446,388,10720,28,2810720,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,171,171,Wyoming Threetip Sage-Low Sage-5,140,Shrubland,132,200,0.517640000000000,0.549020000000000,0.784310000000000
,389,91576,389,10930,28,2810930,Southern Colorado Plateau Sand Shrubland,196,196,Mormon Tea-Fringed Sage-3,219,Shrubland,134,24,0.525490000000000,0.858820000000000,0.094110000000000
,390,13679,390,11250,25,2511250,Inter-Mountain Basins Big Sagebrush Steppe,221,221,Wyoming Big Sage-Wheatgrass-4,115,Shrubland,255,223,1.000000000000000,0.450980000000000,0.874510000000000
,391,112478,391,10860,25,2510860,Rocky Mountain Lower Montane-Foothill Shrubland,191,191,Alderleaf Mountain Mahogany-Wavyleaf Oak-Sideoats Grama-4,68,Shrubland,137,101,0.537250000000000,0.266660000000000,0.396070000000000
,392,861070,392,10950,25,2510950,Apacherian-Chihuahuan Mesquite Upland Scrub,198,198,Mesquite-2,56,Shrubland,255,132,1.000000000000000,0.219600000000000,0.517640000000000
,393,582750,393,10760,25,2510760,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,174,174,Mesquite-Fourwing Saltbush-5,69,Shrubland,229,99,0.898030000000000,0.270580000000000,0.388230000000000
,394,74212,394,10780,25,2510780,Colorado Plateau Blackbrush-Mormon-tea Shrubland,176,176,Blackbrush-Mormon Tea-3,155,Shrubland,52,207,0.203920000000000,0.607840000000000,0.811760000000000
,395,2280355,395,10820,24,2410820,Mojave Mid-Elevation Mixed Desert Scrub,184,184,Blackbrush-Jointfir-5,6,Shrubland,216,73,0.847050000000000,0.023520000000000,0.286270000000000
,396,126694,396,11460,24,2411460,Southern Rocky Mountain Montane-Subalpine Grassland,244,244,Arizona Fescue-Mountain Muhly-1,205,Grassland,167,178,0.654900000000000,0.803920000000000,0.698030000000000
,397,620875,397,11080,24,2411080,Sonora-Mojave Semi-Desert Chaparral,203,203,Pointleaf Manzanita-Desert Ceanothus-Birchleaf Mountain Mahogany-4,197,Shrubland,255,173,1.000000000000000,0.772540000000000,0.678430000000000
,398,5130675,398,10870,24,2410870,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,192,192,Creosote-Bursage-5,154,Shrubland,52,184,0.203920000000000,0.603920000000000,0.721560000000000
,399,350148,399,11261,24,2411261,Inter-Mountain Basins Montane Sagebrush Steppe - Mountain Big Sagebrush,222,222,Mountain Sagebrush-Bluebunch Wheatgrass-Idaho Fescue-4,0,Shrubland,230,169,0.901960000000000,0.000000000000000,0.662740000000000
,400,64860,400,10820,16,1610820,Mojave Mid-Elevation Mixed Desert Scrub,184,184,Blackbrush-Jointfir-5,6,Shrubland,216,73,0.847050000000000,0.023520000000000,0.286270000000000
,401,141784,401,10660,16,1610660,Inter-Mountain Basins Mat Saltbush Shrubland,168,168,Mat Saltbush-5,190,Shrubland,11,127,0.043130000000000,0.745090000000000,0.498030000000000
,402,349220,402,10950,15,1510950,Apacherian-Chihuahuan Mesquite Upland Scrub,198,198,Mesquite-2,56,Shrubland,255,132,1.000000000000000,0.219600000000000,0.517640000000000
,403,383022,403,10640,15,1510640,Colorado Plateau Mixed Low Sagebrush Shrubland,166,166,Bigelow Sage-Low Sage-4,170,Shrubland,158,215,0.619600000000000,0.666660000000000,0.843130000000000
,404,1261569,404,10780,15,1510780,Colorado Plateau Blackbrush-Mormon-tea Shrubland,176,176,Blackbrush-Mormon Tea-3,155,Shrubland,52,207,0.203920000000000,0.607840000000000,0.811760000000000
,405,347279,405,11080,15,1511080,Sonora-Mojave Semi-Desert Chaparral,203,203,Pointleaf Manzanita-Desert Ceanothus-Birchleaf Mountain Mahogany-4,197,Shrubland,255,173,1.000000000000000,0.772540000000000,0.678430000000000
,406,369267,406,10930,15,1510930,Southern Colorado Plateau Sand Shrubland,196,196,Mormon Tea-Fringed Sage-3,219,Shrubland,134,24,0.525490000000000,0.858820000000000,0.094110000000000
,407,2293048,407,10950,14,1410950,Apacherian-Chihuahuan Mesquite Upland Scrub,198,198,Mesquite-2,56,Shrubland,255,132,1.000000000000000,0.219600000000000,0.517640000000000
,408,3036,408,10020,2,210020,Mediterranean California Sparsely Vegetated Systems,100,100,Sparsely Vegetated,245,Sparse,255,215,1.000000000000000,0.960780000000000,0.843130000000000
,409,795,409,10060,22,2210060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,100,100,Sparsely Vegetated,78,Sparse,78,78,1.000000000000000,0.305880000000000,0.305880000000000
,410,175654,410,10010,21,2110010,Inter-Mountain Basins Sparsely Vegetated Systems,100,100,Sparsely Vegetated,255,Sparse,255,190,1.000000000000000,1.000000000000000,0.745090000000000
,411,3499937,411,10060,21,2110060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,100,100,Sparsely Vegetated,78,Sparse,78,78,1.000000000000000,0.305880000000000,0.305880000000000
,412,24339,412,10010,20,2010010,Inter-Mountain Basins Sparsely Vegetated Systems,100,100,Sparsely Vegetated,255,Sparse,255,190,1.000000000000000,1.000000000000000,0.745090000000000
,413,6076,413,10060,20,2010060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,100,100,Sparsely Vegetated,78,Sparse,78,78,1.000000000000000,0.305880000000000,0.305880000000000
,414,56396,414,10010,10,1010010,Inter-Mountain Basins Sparsely Vegetated Systems,100,100,Sparsely Vegetated,255,Sparse,255,190,1.000000000000000,1.000000000000000,0.745090000000000
,415,70013,415,10060,10,1010060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,100,100,Sparsely Vegetated,78,Sparse,78,78,0.305880000000000,0.305880000000000,0.305880000000000
,416,55043,416,10110,10,1010110,Rocky Mountain Aspen Forest and Woodland,102,102,Quaking Aspen-4,255,Hardwood,255,115,1.000000000000000,1.000000000000000,0.450980000000000
