US_140EVT,CLASSNAME,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS
3001,Inter-Mountain Basins Sparsely Vegetated Systems,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated
3002,Mediterranean California Sparsely Vegetated Systems,Sps Mediterranean California Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated
3003,North Pacific Sparsely Vegetated Systems,Sps North Pacific Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated
3004,North American Warm Desert Sparsely Vegetated Systems,Sps North American Warm Desert Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated
3006,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sps Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated
3007,Western Great Plains Sparsely Vegetated Systems,Sps Western Great Plains Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated
3008,North Pacific Oak Woodland,Tr North Pacific Oak Woodland,Tree,Hardwood,Western Oak Woodland and Savanna,SAF 233: Oregon White Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy
3009,Northwestern Great Plains Aspen Forest and Parkland,Tr Northwestern Great Plains Aspen Forest and Parkland,Tree,Hardwood,"Aspen Forest, Woodland, and Parkland",SAF 217: Aspen,Tree-dominated,Open tree canopy,Deciduous open tree canopy
3011,Rocky Mountain Aspen Forest and Woodland,Tr Rocky Mountain Aspen Forest and Woodland,Tree,Hardwood,"Aspen Forest, Woodland, and Parkland",SAF 217: Aspen,Tree-dominated,Open tree canopy,Deciduous open tree canopy
3012,Rocky Mountain Bigtooth Maple Ravine Woodland,Tr Rocky Mountain Bigtooth Maple Ravine Woodland,Tree,Hardwood,Bigtooth Maple Woodland,SRM 418: Bigtooth Maple,Tree-dominated,Open tree canopy,Deciduous open tree canopy
3013,Western Great Plains Dry Bur Oak Forest and Woodland,Tr Western Great Plains Dry Bur Oak Forest and Woodland,Tree,Hardwood,Bur Oak Woodland and Savanna,SAF 236: Bur Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy
3014,Central and Southern California Mixed Evergreen Woodland,Tr Central and Southern California Mixed Evergreen Woodland,Tree,Conifer,California Mixed Evergreen Forest and Woodland,SAF 249: Canyon Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3015,California Coastal Redwood Forest,Tr California Coastal Redwood Forest,Tree,Conifer,Redwood Forest and Woodland,SAF 232: Redwood,Tree-dominated,Open tree canopy,Evergreen open tree canopy
