Rowid_,VALUE,COUNT,VALUE_1,LABEL,DESCRIPTIO,R,G,B,RED,GREEN,BLUE
,-9999,0,-9999.000000000000000,NODATA,NODATA,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
,1,727210103,1.000000000000000,A,Succession Class A,161.000000000000000,99.000000000000000,51.000000000000000,0.631373000000000,0.388235000000000,0.200000000000000
,2,1698129736,2.000000000000000,B,Succession Class B,56.000000000000000,168.000000000000000,0.000000000000000,0.219608000000000,0.658824000000000,0.000000000000000
,3,1088313088,3.000000000000000,C,Succession Class C,201.000000000000000,222.000000000000000,171.000000000000000,0.788235000000000,0.870588000000000,0.670588000000000
,4,557668466,4.000000000000000,D,Succession Class D,255.000000000000000,248.000000000000000,166.000000000000000,1.000000000000000,0.972549000000000,0.650980000000000
,5,570017603,5.000000000000000,E,Succession Class E,0.000000000000000,74.000000000000000,77.000000000000000,0.000000000000000,0.290196000000000,0.301961000000000
,6,788835439,6.000000000000000,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition,160.000000000000000,0.000000000000000,0.000000000000000,0.627451000000000,0.000000000000000,0.000000000000000
,7,167146574,7.000000000000000,UE,Uncharacteristic Exotic Vegetation,255.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
,111,482585401,111.000000000000000,Water,Water,0.000000000000000,0.000000000000000,255.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
,112,1929687,112.000000000000000,Snow / Ice,Snow / Ice,200.000000000000000,255.000000000000000,255.000000000000000,0.784314000000000,1.000000000000000,1.000000000000000
,120,351054124,120.000000000000000,Non-burnable Urban,Non-burnable Urban,132.000000000000000,0.000000000000000,168.000000000000000,0.517647000000000,0.000000000000000,0.658824000000000
,121,505602480,121.000000000000000,Burnable Urban,Burnable Urban,232.000000000000000,190.000000000000000,255.000000000000000,0.909804000000000,0.745098000000000,1.000000000000000
,131,103842805,131.000000000000000,Barren,Barren,78.000000000000000,78.000000000000000,78.000000000000000,0.305882000000000,0.305882000000000,0.305882000000000
,132,55276048,132.000000000000000,Sparsely Vegetated,Sparsely Vegetated,178.000000000000000,178.000000000000000,178.000000000000000,0.698039000000000,0.698039000000000,0.698039000000000
,180,1268481052,180.000000000000000,Non-burnable Agriculture,Non-burnable Agriculture,255.000000000000000,255.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000
,181,612658976,181.000000000000000,Burnable Agriculture,Burnable Agriculture,255.000000000000000,170.000000000000000,0.000000000000000,1.000000000000000,0.666667000000000,0.000000000000000
